Nombre,Teléfono,Dirección,Lat,Lng,Rating,Reseñas,Horarios
Sesta Barber Shop,+39 347 905 9010,"Via Cesare Battisti, 19, 14100 Asti AT, Italia",44.900872,8.2055238,4.8,166,"giovedì: 08 to 12:30, 15 to 19:30 | venerdì: 08 to 12:30, 15 to 19:30 | sabato: 08 to 19 | domenica: Chiuso | lunedì: Chiuso | martedì: 08 to 12:30, 15 to 19:30 | mercoledì: 08 to 12:30, 15 to 19:30"
Leo Pesca,+39 342 046 9681,"Viale Pilone, 26, 14100 Asti AT, Italia",44.9033675,8.2166164,4.7,58,"giovedì: Chiuso | venerdì: 09 to 12:30, 15:30 to 19:30 | sabato: 09 to 12:30, 15:30 to 19:30 | domenica: Chiuso | lunedì: 09 to 12:30, 15:30 to 19:30 | martedì: Chiuso | mercoledì: 09 to 12:30, 15:30 to 19:30"
OROCASH,+39 0141 382557,"Corso Dante Alighieri, 36, 14100 Asti AT, Italia",44.9017478,8.2054573,2.9,8,"giovedì: 09 to 12:30, 15 to 19 | venerdì: 09 to 12:30, 15 to 19 | sabato: 09 to 12:30, 15 to 19 | domenica: Chiuso | lunedì: Chiuso | martedì: 09 to 12:30, 15 to 19 | mercoledì: 09 to 12:30, 15 to 19"
MCB Bar,,"Corso Alessandria, 119, 14100 Asti AT, Italia",44.9042935,8.2191388,,,giovedì: 09 to 20:30 | venerdì: 09 to 20:30 | sabato: 09 to 20:30 | domenica: 09 to 20:30 | lunedì: 09 to 20:30 | martedì: 09 to 20:30 | mercoledì: 09 to 20:30
IL TALAMO DORMIRE & ARREDARE,+39 0141 531728,"Via Angelo Brofferio, 172, 14100 Asti AT, Italia",44.8954362,8.2003371,4.6,11,"giovedì: 09:30 to 12:30, 16:30 to 19:30 | venerdì: 09:30 to 12:30, 16:30 to 19:30 | sabato: 09:30 to 12:30, 16:30 to 19:30 | domenica: Chiuso | lunedì: Chiuso | martedì: 09:30 to 12:30, 16:30 to 19:30 | mercoledì: 09:30 to 12:30, 16:30 to 19:30"
Sigma Tende e Infissi,+39 0141 271746,"Corso Volta, 96, 14100 Asti AT, Italia",44.9077483,8.2171351,4.5,76,"giovedì: 09 to 12, 15 to 18:30 | venerdì: 09 to 12, 15 to 18:30 | sabato: 09 to 12 | domenica: Chiuso | lunedì: 15 to 18:30 | martedì: 09 to 12, 15 to 18:30 | mercoledì: 09 to 12, 15 to 18:30"
Barber Shop Heritage,+39 371 519 7319,"Corso Alessandria, 16, 14100 Asti AT, Italia",44.903533,8.2155154,5,12,"giovedì: 09 to 13, 15 to 20 | venerdì: 09 to 13, 15 to 20 | sabato: 09 to 20 | domenica: Chiuso | lunedì: 09 to 13, 15 to 20 | martedì: 09 to 13, 15 to 20 | mercoledì: 09 to 13, 15 to 20"
The Barber Shop,+39 345 746 4248,"Via Conte Verde, 49, 14100 Asti AT, Italia",44.9064701,8.1986009,4.7,23,"giovedì: 08:30 to 12, 14:30 to 19 | venerdì: 08:30 to 12, 14:30 to 19 | sabato: 08:30 to 18:30 | domenica: Chiuso | lunedì: Chiuso | martedì: 08:30 to 12, 14:30 to 19 | mercoledì: 08:30 to 12, 14:30 to 19"
Pasticceria I Dolci Vizi Di Tizy,+39 391 100 3044,"Via Giovanni Visconti Venosta, 14100 Asti AT, Italia",44.9069075,8.2089134,,,giovedì: 10 to 18 | venerdì: 10 to 18 | sabato: 10 to 18 | domenica: 10 to 18 | lunedì: 10 to 18 | martedì: 10 to 18 | mercoledì: 10 to 18
Bruno Ruscalla srl,+39 0141 440532,"Via Amerigo Vespucci, 32/a, 14100 Asti AT, Italia",44.9166488,8.2315494,,,"giovedì: 08 to 12, 14 to 18 | venerdì: 08 to 12, 14 to 18 | sabato: Chiuso | domenica: Chiuso | lunedì: 08 to 12, 14 to 18 | martedì: 08 to 12, 14 to 18 | mercoledì: 08 to 12, 14 to 18"
Pit Shop Gomme,,"14100 Asti AT, Italia",44.9156644,8.2225916,,,
